Station Name,Latitude,Longitude,Address
Estación San Isidro,9.0641681112928, -79.51122228201524,San Isidro
Estación Los Andés,9.04928373711132, -79.50791716111134,Los Andés
Estación Pan de Azúcar,9.039392821886269,-79.50719343556224,Pan de Azúcar
Estación San Miguelito,9.029792681402975,-79.5062984078802,Vía Simón Bolívar
Estación Pueblo Nuevo,9.023587954617632,-79.51166505147694,Pueblo Nuevo
Estación 12 de Octubre,9.016472864165058, -79.51715434108702,12 de Octubre
Estación El Ingenio, 9.008014377443835,-79.51920682345073,El Ingenio
Estación Fernández de Córdoba,8.999000096345744,-79.51984368655665,Vía Fernández de Córdoba
Estación Vía Argentina,8.98955888040945, -79.5222114883192,Vía Argentina
Estación Iglesia del Carmen,8.98229864570899, -79.52707603056953,Vía España
Estación Santo Tomas,8.973257103681725, -79.532618685907,Ave Justo Arosemena
Estación Lotería,8.967575411915607,-79.53564305650627,Calidonia
Estación 5 de Mayo,8.962173840537195,-79.5401056904281,5 de Mayo
Estación Albrook ,8.973403546689315,-79.5495964541179,Albrook
