Station Name,Latitude,Longitude,Address
Estación Paraiso,9.030072631510802,-79.49836229331427,San Miguelito
Estación Cincuentenario,9.03032493553864,-79.49063839566648,Avenida Domingo Díaz
Estación Villa Lucre,9.037333041340442,-79.480469282176297,Villa Lucre
Estación El Crisol,9.04390978901372,-79.47082529962698,El Crisol
Estación Brisas del Golf,9.049353871319553,-79.45857858960142,Brisas del Golf
Estación Cerro Viento,9.050658812936943,-79.45115160866055,Cerro Viento
Estación San Antonio,9.05209298354969,-79.44460369145771,San Antonio
Estación Pedregal-las Acacias,9.059874245427624,-79.42929785365021,Pedregal
Estación Don Bosco,9.063234996412145,-79.42000487796744,Don Bosco
Estación UTP,9.069023424834043,-79.40637128403235,Tocumen
Estación Las Mañanitas,9.079624909572098,-79.39895984591406,Las Mañanitas
Estación Hospital del Este,9.09476446057582,-79.3936356528433,24 de Diciembre
Estación Altos del Tocumen,9.103624335899664,-79.3797972914574,Altos del Tocumen
Estación 24 de Diciembre,9.103579873723522,-79.36943579616192,La Doña
Estación Nuevo Tocumen,9.10206510585385,-79.35226368824073,Nuevo Tocumen
